2017.09.05 (248) 12:30:00.000
Station name: Grahamstown
URSI code: GR13L
Ionosonde model: DPS-4D
  Freq  Range Pol MPA Amp Doppler    Az    Zn  PGH
 1.025  560.0  90  42  57  -2.344 330.0  30.0  555
 1.475   80.0  90  42  57   2.344 150.0  30.0   93
 1.475   82.5  90  42  57   2.344 150.0  30.0   97
 1.475   85.0  90  42  57   2.344 150.0  30.0   99
 1.475   87.5  90  42  60   2.344 270.0  30.0  101
 1.475   90.0  90  42  57   2.344 270.0  30.0  103
 1.475   92.5  90  42  57   2.344 210.0  30.0  106
 1.475   95.0  90  42  57  -5.469 270.0  30.0   94
 1.475   97.5  90  42  57  -5.469 210.0  30.0   95
 1.475  100.0  90  42  57  -5.469 150.0  30.0   98
 1.475  102.5  90  42  57  -5.469  90.0  30.0  100
 1.475  107.5  90  42  57  -5.469 270.0  30.0  103
 1.475  110.0  90  42  57  -5.469  30.0  30.0  106
 1.475  112.5  90  42  57  -5.469 330.0  30.0  113
 1.475  115.0  90  42  57  -5.469 330.0  30.0  116
 1.475  117.5  90  42  57  -5.469 330.0  30.0  118
 1.475  120.0  90  42  57  -5.469 330.0  30.0  118
 1.475  122.5  90  42  57  -5.469 150.0  30.0  118
 1.475  125.0  90  42  57  -5.469 150.0  30.0  121
 1.475  127.5  90  42  57  -5.469 150.0  30.0  122
 1.475  130.0  90  42  57  -5.469 150.0  30.0  125
 1.475  132.5  90  42  57  -5.469 150.0  30.0  129
 1.475  135.0  90  42  57   2.344  90.0  30.0  146
 1.475  137.5  90  42  57   2.344   0.0   0.0  150
 1.475  140.0  90  42  57  -5.469 210.0  30.0  134
 1.475  142.5  90  42  57   2.344  30.0  30.0  154
 1.475  145.0  90  42  57  -5.469  90.0  30.0  139
 1.475  147.5  90  42  57  -5.469 150.0  30.0  142
 1.475  150.0  90  42  57   2.344 270.0  30.0  160
 1.475  152.5  90  42  57   2.344 270.0  30.0  160
 1.475  155.0  90  42  57  -5.469 150.0  30.0  148
 1.475  157.5  90  42  57  -5.469 270.0  30.0  149
 1.475  160.0  90  42  57  -5.469 270.0  30.0  151
 1.475  162.5  90  42  57  -5.469  90.0  30.0  153
 1.475  165.0  90  42  57  -5.469  90.0  30.0  156
 1.475  167.5  90  42  57  -5.469 210.0  30.0  158
 1.475  170.0  90  42  57   2.344 330.0  30.0  176
 1.475  172.5  90  42  57   2.344  30.0  30.0  179
 1.475  175.0  90  42  57   2.344  30.0  30.0  181
 1.475  182.5  90  42  57   0.781 270.0  30.0  189
 1.475  185.0  90  42  57   2.344 270.0  30.0  188
 1.475  187.5  90  42  57   2.344  90.0  30.0  191
 1.475  190.0  90  42  57  -5.469  90.0  30.0  179
 1.475  192.5  90  42  57  -5.469 210.0  30.0  181
 1.475  197.5  90  42  57   0.781 150.0  30.0  199
 1.475  200.0  90  42  57  -5.469 330.0  30.0  191
 1.475  205.0  90  42  57  -5.469   0.0   0.0  194
 1.475  207.5  90  42  57   2.344 330.0  30.0  212
 1.475  210.0  90  42  57   2.344 330.0  30.0  214
 1.475  222.5  90  42  57  -5.469 330.0  30.0  210
 1.475  237.5  90  42  57  -5.469  90.0  30.0  223
 1.475  252.5  90  42  57   0.781 210.0  30.0  248
 1.475  255.0  90  42  57  -0.781   0.0   0.0  251
 1.475  265.0  90  42  57   0.781 330.0  30.0  260
 1.475  267.5  90  42  57   0.781 330.0  30.0  262
 1.475  277.5  90  42  57   0.781  90.0  30.0  269
 1.475  280.0  90  42  57  -0.781 150.0  30.0  267
 1.475  377.5  90  42  57   2.344 330.0  30.0  365
 1.475 1272.5  90  42  57   2.344 150.0  30.0 1273
 1.475 1275.0  90  42  57   2.344 150.0  30.0 1276
 1.475 1277.5  90  42  57   2.344 150.0  30.0 1277
 1.475  122.5 -90  42  57   2.344 270.0  30.0  130
 1.475  125.0 -90  42  57   2.344  30.0  30.0  131
 1.500   87.5  90  39  54  -2.344  90.0  30.0   76
 1.500   90.0  90  39  54  -0.781  90.0  30.0  104
 1.500   92.5  90  39  54   0.781  90.0  30.0  105
 1.500  130.0  90  39  54   0.781 330.0  30.0  119
 1.500  137.5  90  39  54  -5.469 270.0  30.0  125
 1.500  147.5  90  39  54  -5.469  90.0  30.0  139
 1.500  150.0  90  39  54   3.906 210.0  30.0  159
 1.800  335.0 -90  36  51  -5.469 150.0  30.0  344
 1.800  342.5 -90  36  51  -0.781  90.0  30.0  328
 1.800  345.0 -90  36  51  -5.469 150.0  30.0  346
 1.975  215.0  90  45  60  -3.906 210.0  30.0  228
 1.975  235.0  90  45  60   3.906 210.0  30.0  243
 1.975  237.5  90  45  60   3.906 210.0  30.0  245
 1.975  240.0  90  45  60   3.906 210.0  30.0  247
 1.975  242.5  90  45  60   3.906 150.0  30.0  249
 1.975  245.0  90  45  60   2.344 210.0  30.0  260
 1.975  247.5  90  45  60   2.344 210.0  30.0  262
 1.975  250.0  90  45  60   2.344 210.0  30.0  264
 1.975  252.5  90  45  60   2.344 210.0  30.0  240
